Ticker,Company Name,Industry,Market Cap,1 Yr,3 Yr,5 Yr,Total Revenues,Gross Profit Margin,EBIT Margin,Net Income Margin,Net Debt/EBITDA,P/E,P/B,P/Revenue,ROIC,Dividend Yield
NYSE:HSY,The Hershey Company,Consumer Staples,47490.97,21.9,67.2,127.6,8971.34,45.2,22.9,16.5,2.1x,32.57,17.31,5.34,24.0,1.5
NYSE:HD,"The Home Depot, Inc.",Consumer Discretionary,321920.1,-22.0,54.9,87.5,151157.0,33.6,15.2,10.9,1.7x,20.34,,2.2,51.0,2.2
NYSE:IPG,"The Interpublic Group of Companies, Inc.",Communication Services,12941.76,-7.8,62.8,101.9,10240.7,32.1,14.2,9.3,0.9x,13.94,3.72,1.44,24.0,3.3
NYSE:SJM,The J. M. Smucker Company,Consumer Staples,16898.02,20.1,66.4,48.0,7885.3,35.4,14.4,7.3,2.7x,29.87,2.08,2.18,8.0,2.5
NasdaqGS:KHC,The Kraft Heinz Company,Consumer Staples,49866.91,18.2,45.2,-33.9,26042.0,33.4,21.0,3.9,3.0x,49.65,1.01,1.91,7.0,4.0
NYSE:KR,The Kroger Co.,Consumer Staples,31911.34,0.4,63.4,80.0,137888.0,22.7,2.7,1.2,2.8x,20.54,3.43,0.24,12.0,1.8
NYSE:MOS,The Mosaic Company,Materials,14936.9,12.8,108.9,78.3,12357.4,26.2,21.8,13.2,1.0x,10.27,1.53,1.34,15.0,0.6
NYSE:PNC,"The PNC Financial Services Group, Inc.",Financials,63700.21,-18.6,9.4,27.9,19990.0,,,28.4,,12.44,1.31,3.37,,3.1
NYSE:PG,The Procter & Gamble Company,Consumer Staples,359151.26,-5.0,30.6,89.0,78346.0,49.4,23.5,18.5,1.1x,26.81,8.3,4.71,22.0,2.3
NYSE:PGR,The Progressive Corporation,Financials,75889.39,26.8,98.9,172.2,47676.5,9.8,9.3,7.0,1.0x,22.92,4.27,1.59,19.0,1.5
NYSE:SHW,The Sherwin-Williams Company,Materials,61123.33,-32.0,25.3,81.4,19944.6,42.8,13.3,9.3,3.5x,34.0,25.29,3.12,16.0,0.9
NYSE:SO,The Southern Company,Utilities,77670.72,8.2,26.7,85.0,23113.0,43.5,17.7,10.4,6.7x,31.88,2.72,3.28,3.0,3.7
NYSE:TJX,"The TJX Companies, Inc.",Consumer Discretionary,91978.13,6.7,35.2,123.1,48549.98,35.2,9.3,6.8,1.2x,29.48,15.66,1.97,34.0,1.3
NYSE:TRV,"The Travelers Companies, Inc.",Financials,43937.82,22.4,46.9,55.3,34816.0,27.2,13.8,10.5,1.2x,12.94,1.57,1.34,10.0,1.9
NYSE:DIS,The Walt Disney Company,Communication Services,158433.67,-43.9,-39.9,-16.9,72988.0,34.3,7.5,4.2,3.8x,50.54,1.74,2.16,3.0,
NYSE:WMB,"The Williams Companies, Inc.",Energy,40083.38,32.8,68.7,46.7,10775.0,48.2,24.5,14.1,4.9x,26.53,3.51,3.71,6.0,5.1
NYSE:TMO,Thermo Fisher Scientific Inc.,Health Care,216998.34,-17.3,70.6,193.6,39211.0,50.1,26.5,19.7,2.5x,28.3,5.32,5.53,13.0,0.2
NasdaqGS:TMUS,"T-Mobile US, Inc.",Communication Services,174181.58,20.7,78.9,120.8,80118.0,56.8,12.5,3.8,3.9x,58.09,2.53,2.18,5.0,
